,time,MISO,MOSI
0,0.01104252,0xff,0xff
1,0.01104432,0xff,0x4d
2,0.01104612,0xff,0x00
3,0.01104792,0xff,0x00
4,0.01104972,0xff,0x00
5,0.01105152,0xff,0x00
6,0.01105332,0xff,0x0d
7,0.01105512,0xff,0xff
8,0.01105692,0x00,0xff
9,0.01105872,0x00,0xff
10,0.01106052,0xff,0xff
11,0.01106232,0xff,0xff
12,0.01106412,0xff,0xff
13,0.01106592,0xff,0xff
14,0.01106772,0xff,0xff
15,0.01106952,0xff,0xff
16,0.01107132,0xff,0xff
17,0.01107312,0xff,0xff
18,0.85028028,0xff,0xff
19,0.85028208,0xff,0x58
20,0.85028388,0xff,0x00
21,0.85028568,0xff,0x00
22,0.85028748,0xff,0x14
23,0.85028928,0xff,0xba
24,0.85029108,0xff,0x25
25,0.85029288,0xff,0xff
26,0.85029468,0x00,0xff
27,0.85029648,0xff,0xff
28,0.85029828,0xff,0xff
29,0.85030008,0xff,0xff
30,0.85030188,0xff,0xff
31,0.85030368,0xff,0xff
32,0.85030548,0xff,0xff
33,0.85030728,0xff,0xff
34,0.85030908,0xff,0xff
35,0.85037272,0xff,0xfe
36,0.850391,0xff,0xf8
37,0.8503926,0xff,0xff
38,0.8503942,0xff,0xff
39,0.8503958,0xff,0x0f
40,0.8503974,0xff,0xff
41,0.850399,0xff,0xff
42,0.8504006,0xff,0xff
43,0.8504022,0xff,0xff
44,0.8504038,0xff,0xff
45,0.8504054,0xff,0xff
46,0.850407,0xff,0xff
47,0.8504086,0xff,0x0f
48,0.8504102,0xff,0xff
49,0.8504118,0xff,0xff
50,0.8504134,0xff,0xff
51,0.850415,0xff,0x0f
52,0.8504166,0xff,0xff
53,0.8504182,0xff,0xff
54,0.8504198,0xff,0xff
55,0.8504214,0xff,0x0f
56,0.850423,0xff,0xff
57,0.8504246,0xff,0xff
58,0.8504262,0xff,0xff
59,0.8504278,0xff,0x0f
60,0.8504294,0xff,0xff
61,0.850431,0xff,0xff
62,0.8504326,0xff,0xff
63,0.8504342,0xff,0x0f
64,0.8504358,0xff,0xff
65,0.8504374,0xff,0xff
66,0.850439,0xff,0xff
67,0.8504406,0xff,0x0f
68,0.8504422,0xff,0xff
69,0.8504438,0xff,0xff
70,0.8504454,0xff,0xff
71,0.850447,0xff,0x0f
72,0.8504486,0xff,0xff
73,0.8504502,0xff,0xff
74,0.8504518,0xff,0xff
75,0.8504534,0xff,0x0f
76,0.850455,0xff,0xff
77,0.8504566,0xff,0xff
78,0.8504582,0xff,0xff
79,0.8504598,0xff,0x0f
80,0.8504614,0xff,0xff
81,0.850463,0xff,0xff
82,0.8504646,0xff,0xff
83,0.8504662,0xff,0x0f
84,0.8504678,0xff,0xff
85,0.8504694,0xff,0xff
86,0.850471,0xff,0xff
87,0.8504726,0xff,0x0f
88,0.8504742,0xff,0xff
89,0.8504758,0xff,0xff
90,0.8504774,0xff,0xff
91,0.850479,0xff,0x0f
92,0.8504806,0xff,0xff
93,0.8504822,0xff,0xff
94,0.8504838,0xff,0xff
95,0.8504854,0xff,0x0f
96,0.850487,0xff,0xff
97,0.8504886,0xff,0xff
98,0.8504902,0xff,0xff
99,0.8504918,0xff,0x0f
100,0.8504934,0xff,0xff
101,0.850495,0xff,0xff
102,0.8504966,0xff,0xff
103,0.8504982,0xff,0x0f
104,0.8504998,0xff,0xff
105,0.8505014,0xff,0xff
106,0.850503,0xff,0xff
107,0.8505046,0xff,0x0f
108,0.8505062,0xff,0xff
109,0.8505078,0xff,0xff
110,0.8505094,0xff,0xff
111,0.850511,0xff,0x0f
112,0.8505126,0xff,0x00
113,0.8505142,0xff,0x00
114,0.8505158,0xff,0x00
115,0.8505174,0xff,0x00
116,0.850519,0xff,0xff
117,0.8505206,0xff,0xff
118,0.8505222,0xff,0xff
119,0.8505238,0xff,0x0f
120,0.8505254,0xff,0x00
121,0.850527,0xff,0x00
122,0.8505286,0xff,0x00
123,0.8505302,0xff,0x00
124,0.8505318,0xff,0xff
125,0.8505334,0xff,0xff
126,0.850535,0xff,0xff
127,0.8505366,0xff,0x0f
128,0.8505382,0xff,0x00
129,0.8505398,0xff,0x00
130,0.8505414,0xff,0x00
131,0.850543,0xff,0x00
132,0.8505446,0xff,0xff
133,0.8505462,0xff,0xff
134,0.8505478,0xff,0xff
135,0.8505494,0xff,0x0f
136,0.850551,0xff,0xff
137,0.8505526,0xff,0xff
138,0.8505542,0xff,0xff
139,0.8505558,0xff,0x0f
140,0.8505574,0xff,0xff
141,0.850559,0xff,0xff
142,0.8505606,0xff,0xff
143,0.8505622,0xff,0x0f
144,0.8505638,0xff,0xff
145,0.8505654,0xff,0xff
146,0.850567,0xff,0xff
147,0.8505686,0xff,0x0f
148,0.8505702,0xff,0xff
149,0.8505718,0xff,0xff
150,0.8505734,0xff,0xff
151,0.850575,0xff,0x0f
152,0.8505766,0xff,0xff
153,0.8505782,0xff,0xff
154,0.8505798,0xff,0xff
155,0.8505814,0xff,0x0f
156,0.850583,0xff,0x00
157,0.8505846,0xff,0x00
158,0.8505862,0xff,0x00
159,0.8505878,0xff,0x00
160,0.8505894,0xff,0xff
161,0.850591,0xff,0xff
162,0.8505926,0xff,0xff
163,0.8505942,0xff,0x0f
164,0.8505958,0xff,0xff
165,0.8505974,0xff,0xff
166,0.850599,0xff,0xff
167,0.8506006,0xff,0x0f
168,0.8506022,0xff,0x00
169,0.8506038,0xff,0x00
170,0.8506054,0xff,0x00
171,0.850607,0xff,0x00
172,0.8506086,0xff,0x00
173,0.8506102,0xff,0x00
174,0.8506118,0xff,0x00
175,0.8506134,0xff,0x00
176,0.850615,0xff,0x00
177,0.8506166,0xff,0x00
178,0.8506182,0xff,0x00
179,0.8506198,0xff,0x00
180,0.8506214,0xff,0x00
181,0.850623,0xff,0x00
182,0.8506246,0xff,0x00
183,0.8506262,0xff,0x00
184,0.8506278,0xff,0x00
185,0.8506294,0xff,0x00
186,0.850631,0xff,0x00
187,0.8506326,0xff,0x00
188,0.8506342,0xff,0x00
189,0.8506358,0xff,0x00
190,0.8506374,0xff,0x00
191,0.850639,0xff,0x00
192,0.8506406,0xff,0x00
193,0.8506422,0xff,0x00
194,0.8506438,0xff,0x00
195,0.8506454,0xff,0x00
196,0.850647,0xff,0x29
197,0.8506486,0xff,0x00
198,0.8506502,0xff,0x00
199,0.8506518,0xff,0x00
200,0.8506534,0xff,0x2a
201,0.850655,0xff,0x00
202,0.8506566,0xff,0x00
203,0.8506582,0xff,0x00
204,0.8506598,0xff,0x2b
205,0.8506614,0xff,0x00
206,0.850663,0xff,0x00
207,0.8506646,0xff,0x00
208,0.8506662,0xff,0x2c
209,0.8506678,0xff,0x00
210,0.8506694,0xff,0x00
211,0.850671,0xff,0x00
