,time,MISO,MOSI
0,0.9249992,0xff,0xff
1,0.925001,0xff,0x4d
2,0.9250028,0xff,0x00
3,0.9250046,0xff,0x00
4,0.9250064,0xff,0x00
5,0.9250082,0xff,0x00
6,0.92501,0xff,0x0d
7,0.9250118,0xff,0xff
8,0.9250136,0x00,0xff
9,0.9250154,0x00,0xff
10,0.9250172,0xff,0xff
11,0.925019,0xff,0xff
12,0.9250208,0xff,0xff
13,0.9250226,0xff,0xff
14,0.9250244,0xff,0xff
15,0.9250262,0xff,0xff
16,0.925028,0xff,0xff
17,0.9250298,0xff,0xff
18,1.96494732,0xff,0xff
19,1.96494912,0xff,0x4d
20,1.96495092,0xff,0x00
21,1.96495272,0xff,0x00
22,1.96495452,0xff,0x00
23,1.96495632,0xff,0x00
24,1.96495812,0xff,0x0d
25,1.96495992,0xff,0xff
26,1.96496172,0x00,0xff
27,1.96496352,0x00,0xff
28,1.96496532,0xff,0xff
29,1.96496712,0xff,0xff
30,1.96496892,0xff,0xff
31,1.96497072,0xff,0xff
32,1.96497252,0xff,0xff
33,1.96497432,0xff,0xff
34,1.96497612,0xff,0xff
35,1.96497792,0xff,0xff
36,2.45011328,0xff,0xff
37,2.45011508,0xff,0x58
38,2.45011688,0xff,0x00
39,2.45011868,0xff,0x00
40,2.45012048,0xff,0x14
41,2.45012228,0xff,0xba
42,2.45012408,0xff,0x25
43,2.45012588,0xff,0xff
44,2.45012768,0x00,0xff
45,2.45012948,0xff,0xff
46,2.45013128,0xff,0xff
47,2.45013308,0xff,0xff
48,2.45013488,0xff,0xff
49,2.45013668,0xff,0xff
50,2.45013848,0xff,0xff
51,2.45014028,0xff,0xff
52,2.45014208,0xff,0xff
53,2.45020412,0xff,0xfe
54,2.4502224,0xff,0xf8
55,2.450224,0xff,0xff
56,2.4502256,0xff,0xff
57,2.4502272,0xff,0x0f
58,2.4502288,0xff,0xff
59,2.4502304,0xff,0xff
60,2.450232,0xff,0xff
61,2.4502336,0xff,0xff
62,2.4502352,0xff,0xff
63,2.4502368,0xff,0xff
64,2.4502384,0xff,0xff
65,2.45024,0xff,0x0f
66,2.4502416,0xff,0xff
67,2.4502432,0xff,0xff
68,2.4502448,0xff,0xff
69,2.4502464,0xff,0x0f
70,2.450248,0xff,0xff
71,2.4502496,0xff,0xff
72,2.4502512,0xff,0xff
73,2.4502528,0xff,0x0f
74,2.4502544,0xff,0xff
75,2.450256,0xff,0xff
76,2.4502576,0xff,0xff
77,2.4502592,0xff,0x0f
78,2.4502608,0xff,0xff
79,2.4502624,0xff,0xff
80,2.450264,0xff,0xff
81,2.4502656,0xff,0x0f
82,2.4502672,0xff,0xff
83,2.4502688,0xff,0xff
84,2.4502704,0xff,0xff
85,2.450272,0xff,0x0f
86,2.4502736,0xff,0xff
87,2.4502752,0xff,0xff
88,2.4502768,0xff,0xff
89,2.4502784,0xff,0x0f
90,2.45028,0xff,0xff
91,2.4502816,0xff,0xff
92,2.4502832,0xff,0xff
93,2.4502848,0xff,0x0f
94,2.4502864,0xff,0xff
95,2.450288,0xff,0xff
96,2.4502896,0xff,0xff
97,2.4502912,0xff,0x0f
98,2.4502928,0xff,0xff
99,2.4502944,0xff,0xff
100,2.450296,0xff,0xff
101,2.4502976,0xff,0x0f
102,2.4502992,0xff,0xff
103,2.4503008,0xff,0xff
104,2.4503024,0xff,0xff
105,2.450304,0xff,0x0f
106,2.4503056,0xff,0xff
107,2.4503072,0xff,0xff
108,2.4503088,0xff,0xff
109,2.4503104,0xff,0x0f
110,2.450312,0xff,0xff
111,2.4503136,0xff,0xff
112,2.4503152,0xff,0xff
113,2.4503168,0xff,0x0f
114,2.4503184,0xff,0xff
115,2.45032,0xff,0xff
116,2.4503216,0xff,0xff
117,2.4503232,0xff,0x0f
118,2.4503248,0xff,0xff
119,2.4503264,0xff,0xff
120,2.450328,0xff,0xff
121,2.4503296,0xff,0x0f
122,2.4503312,0xff,0xff
123,2.4503328,0xff,0xff
124,2.4503344,0xff,0xff
125,2.450336,0xff,0x0f
126,2.4503376,0xff,0xff
127,2.4503392,0xff,0xff
128,2.4503408,0xff,0xff
129,2.4503424,0xff,0x0f
130,2.450344,0xff,0x00
131,2.4503456,0xff,0x00
132,2.4503472,0xff,0x00
133,2.4503488,0xff,0x00
134,2.4503504,0xff,0xff
135,2.450352,0xff,0xff
136,2.4503536,0xff,0xff
137,2.4503552,0xff,0x0f
138,2.4503568,0xff,0x00
139,2.4503584,0xff,0x00
140,2.45036,0xff,0x00
141,2.4503616,0xff,0x00
142,2.4503632,0xff,0xff
143,2.4503648,0xff,0xff
144,2.4503664,0xff,0xff
145,2.450368,0xff,0x0f
146,2.4503696,0xff,0x00
147,2.4503712,0xff,0x00
148,2.4503728,0xff,0x00
149,2.4503744,0xff,0x00
150,2.450376,0xff,0xff
151,2.4503776,0xff,0xff
152,2.4503792,0xff,0xff
153,2.4503808,0xff,0x0f
154,2.4503824,0xff,0xff
155,2.450384,0xff,0xff
156,2.4503856,0xff,0xff
157,2.4503872,0xff,0x0f
158,2.4503888,0xff,0xff
159,2.4503904,0xff,0xff
160,2.450392,0xff,0xff
161,2.4503936,0xff,0x0f
162,2.4503952,0xff,0xff
163,2.4503968,0xff,0xff
164,2.4503984,0xff,0xff
165,2.4504,0xff,0x0f
166,2.4504016,0xff,0xff
167,2.4504032,0xff,0xff
168,2.4504048,0xff,0xff
169,2.4504064,0xff,0x0f
170,2.450408,0xff,0xff
171,2.4504096,0xff,0xff
172,2.4504112,0xff,0xff
173,2.4504128,0xff,0x0f
174,2.4504144,0xff,0x00
175,2.450416,0xff,0x00
176,2.4504176,0xff,0x00
177,2.4504192,0xff,0x00
178,2.4504208,0xff,0xff
179,2.4504224,0xff,0xff
180,2.450424,0xff,0xff
181,2.4504256,0xff,0x0f
182,2.4504272,0xff,0xff
183,2.4504288,0xff,0xff
184,2.4504304,0xff,0xff
185,2.450432,0xff,0x0f
186,2.4504336,0xff,0x00
187,2.4504352,0xff,0x00
188,2.4504368,0xff,0x00
189,2.4504384,0xff,0x00
190,2.45044,0xff,0x00
191,2.4504416,0xff,0x00
192,2.4504432,0xff,0x00
193,2.4504448,0xff,0x00
194,2.4504464,0xff,0x00
195,2.450448,0xff,0x00
196,2.4504496,0xff,0x00
197,2.4504512,0xff,0x00
198,2.4504528,0xff,0x00
199,2.4504544,0xff,0x00
200,2.450456,0xff,0x00
201,2.4504576,0xff,0x00
202,2.4504592,0xff,0x00
203,2.4504608,0xff,0x00
204,2.4504624,0xff,0x00
205,2.450464,0xff,0x00
206,2.4504656,0xff,0x00
207,2.4504672,0xff,0x00
208,2.4504688,0xff,0x00
209,2.4504704,0xff,0x00
210,2.450472,0xff,0x00
211,2.4504736,0xff,0x00
212,2.4504752,0xff,0x00
213,2.4504768,0xff,0x00
214,2.4504784,0xff,0x29
215,2.45048,0xff,0x00
216,2.4504816,0xff,0x00
217,2.4504832,0xff,0x00
218,2.4504848,0xff,0x2a
219,2.4504864,0xff,0x00
220,2.450488,0xff,0x00
221,2.4504896,0xff,0x00
222,2.4504912,0xff,0x2b
223,2.4504928,0xff,0x00
224,2.4504944,0xff,0x00
225,2.450496,0xff,0x00
226,2.4504976,0xff,0x2c
227,2.4504992,0xff,0x00
228,2.4505008,0xff,0x00
229,2.4505024,0xff,0x00
230,2.450504,0xff,0x2d
231,2.4505056,0xff,0x00
232,2.4505072,0xff,0x00
233,2.4505088,0xff,0x00
234,2.4505104,0xff,0x2e
235,2.450512,0xff,0x00
236,2.4505136,0xff,0x00
237,2.4505152,0xff,0x00
238,2.4505168,0xff,0x2f
239,2.4505184,0xff,0x00
240,2.45052,0xff,0x00
241,2.4505216,0xff,0x00
