,time,MISO,MOSI
198,12.0929754,0xff,0xff
199,12.0929772,0xff,0x4d
200,12.092979,0xff,0x00
201,12.0929808,0xff,0x00
202,12.0929826,0xff,0x00
203,12.0929844,0xff,0x00
204,12.0929862,0xff,0x0d
205,12.092988,0xff,0xff
206,12.0929898,0x00,0xff
207,12.0929916,0x00,0xff
208,12.0929934,0xff,0xff
209,12.0929952,0xff,0xff
210,12.092997,0xff,0xff
211,12.0929988,0xff,0xff
212,12.0930006,0xff,0xff
213,12.0930024,0xff,0xff
214,12.0930042,0xff,0xff
215,12.093006,0xff,0xff
216,13.1329624,0xff,0xff
217,13.1329642,0xff,0x4d
218,13.132966,0xff,0x00
219,13.1329678,0xff,0x00
220,13.1329696,0xff,0x00
221,13.1329714,0xff,0x00
222,13.1329732,0xff,0x0d
223,13.132975,0xff,0xff
224,13.1329768,0x00,0xff
225,13.1329786,0x00,0xff
226,13.1329804,0xff,0xff
227,13.1329822,0xff,0xff
228,13.132984,0xff,0xff
229,13.1329858,0xff,0xff
230,13.1329876,0xff,0xff
231,13.1329894,0xff,0xff
232,13.1329912,0xff,0xff
233,13.132993,0xff,0xff
234,13.21325828,0xff,0xff
235,13.21326008,0xff,0x58
236,13.21326188,0xff,0x00
237,13.21326368,0xff,0x00
238,13.21326548,0xff,0x14
239,13.21326728,0xff,0xbb
240,13.21326908,0xff,0x37
241,13.21327088,0xff,0xff
242,13.21327268,0x00,0xff
243,13.21327448,0xff,0xff
244,13.21327628,0xff,0xff
245,13.21327808,0xff,0xff
246,13.21327988,0xff,0xff
247,13.21328168,0xff,0xff
248,13.21328348,0xff,0xff
249,13.21328528,0xff,0xff
250,13.21328708,0xff,0xff
251,13.2133684,0xff,0xfe
252,13.21338464,0xff,0x81
253,13.21338624,0xff,0x00
254,13.21338784,0xff,0x00
255,13.21338944,0xff,0x00
256,13.21339104,0xff,0x82
257,13.21339264,0xff,0x00
258,13.21339424,0xff,0x00
259,13.21339584,0xff,0x00
260,13.21339744,0xff,0x83
261,13.21339904,0xff,0x00
262,13.21340064,0xff,0x00
263,13.21340224,0xff,0x00
264,13.21340384,0xff,0x84
265,13.21340544,0xff,0x00
266,13.21340704,0xff,0x00
