,time,MISO,MOSI
0,0.55421844,0xff,0xff
1,0.55422024,0xff,0x4d
2,0.55422204,0xff,0x00
3,0.55422384,0xff,0x00
4,0.55422564,0xff,0x00
5,0.55422744,0xff,0x00
6,0.55422924,0xff,0x0d
7,0.55423104,0xff,0xff
8,0.55423284,0x00,0xff
9,0.55423464,0x00,0xff
10,0.55423644,0xff,0xff
11,0.55423824,0xff,0xff
12,0.55424004,0xff,0xff
13,0.55424184,0xff,0xff
14,0.55424364,0xff,0xff
15,0.55424544,0xff,0xff
16,0.55424724,0xff,0xff
17,0.55424904,0xff,0xff
18,0.70877868,0xff,0xff
19,0.70877984,0xff,0x58
20,0.70878096,0xff,0x00
21,0.70878208,0xff,0x00
22,0.7087832,0xff,0x14
23,0.70878432,0xff,0xba
24,0.70878544,0xff,0x25
25,0.70878656,0xff,0xff
26,0.70878768,0x00,0xff
27,0.70878884,0xff,0xff
28,0.70878996,0xff,0xff
29,0.70879108,0xff,0xff
30,0.7087922,0xff,0xff
31,0.70879332,0xff,0xff
32,0.70879444,0xff,0xff
33,0.70879556,0xff,0xff
34,0.70879668,0xff,0xff
35,0.70887564,0xff,0xfe
36,0.708897,0xff,0xf8
37,0.708898,0xff,0xff
38,0.708899,0xff,0xff
39,0.7089,0xff,0x0f
40,0.708901,0xff,0xff
41,0.708902,0xff,0xff
42,0.708903,0xff,0xff
43,0.708904,0xff,0xff
44,0.708905,0xff,0xff
45,0.708906,0xff,0xff
46,0.708907,0xff,0xff
47,0.708908,0xff,0x0f
48,0.708909,0xff,0xff
49,0.70891,0xff,0xff
50,0.708911,0xff,0xff
51,0.708912,0xff,0x0f
52,0.708913,0xff,0xff
53,0.708914,0xff,0xff
54,0.708915,0xff,0xff
55,0.708916,0xff,0x0f
56,0.708917,0xff,0xff
57,0.708918,0xff,0xff
58,0.708919,0xff,0xff
59,0.70892,0xff,0x0f
60,0.708921,0xff,0xff
61,0.708922,0xff,0xff
62,0.708923,0xff,0xff
63,0.708924,0xff,0x0f
64,0.708925,0xff,0xff
65,0.708926,0xff,0xff
66,0.708927,0xff,0xff
67,0.708928,0xff,0x0f
68,0.708929,0xff,0xff
69,0.70893,0xff,0xff
70,0.708931,0xff,0xff
71,0.708932,0xff,0x0f
72,0.708933,0xff,0xff
73,0.708934,0xff,0xff
74,0.708935,0xff,0xff
75,0.708936,0xff,0x0f
76,0.708937,0xff,0xff
77,0.708938,0xff,0xff
78,0.708939,0xff,0xff
79,0.70894,0xff,0x0f
80,0.708941,0xff,0xff
81,0.708942,0xff,0xff
82,0.708943,0xff,0xff
83,0.708944,0xff,0x0f
84,0.708945,0xff,0xff
85,0.708946,0xff,0xff
86,0.708947,0xff,0xff
87,0.708948,0xff,0x0f
88,0.708949,0xff,0xff
89,0.70895,0xff,0xff
90,0.708951,0xff,0xff
91,0.708952,0xff,0x0f
92,0.708953,0xff,0xff
93,0.708954,0xff,0xff
94,0.708955,0xff,0xff
95,0.708956,0xff,0x0f
96,0.708957,0xff,0xff
97,0.708958,0xff,0xff
98,0.708959,0xff,0xff
99,0.70896,0xff,0x0f
100,0.708961,0xff,0xff
101,0.708962,0xff,0xff
102,0.708963,0xff,0xff
103,0.708964,0xff,0x0f
104,0.708965,0xff,0xff
105,0.708966,0xff,0xff
106,0.708967,0xff,0xff
107,0.708968,0xff,0x0f
108,0.708969,0xff,0xff
109,0.70897,0xff,0xff
110,0.708971,0xff,0xff
111,0.708972,0xff,0x0f
112,0.708973,0xff,0x00
113,0.708974,0xff,0x00
114,0.708975,0xff,0x00
115,0.708976,0xff,0x00
116,0.708977,0xff,0xff
117,0.708978,0xff,0xff
118,0.708979,0xff,0xff
119,0.70898,0xff,0x0f
120,0.708981,0xff,0x00
121,0.708982,0xff,0x00
122,0.708983,0xff,0x00
123,0.708984,0xff,0x00
124,0.708985,0xff,0xff
125,0.708986,0xff,0xff
126,0.708987,0xff,0xff
127,0.708988,0xff,0x0f
128,0.708989,0xff,0x00
129,0.70899,0xff,0x00
130,0.708991,0xff,0x00
131,0.708992,0xff,0x00
132,0.708993,0xff,0xff
133,0.708994,0xff,0xff
134,0.708995,0xff,0xff
135,0.708996,0xff,0x0f
136,0.708997,0xff,0xff
137,0.708998,0xff,0xff
138,0.708999,0xff,0xff
139,0.709,0xff,0x0f
140,0.709001,0xff,0xff
141,0.709002,0xff,0xff
142,0.709003,0xff,0xff
143,0.709004,0xff,0x0f
144,0.709005,0xff,0xff
145,0.709006,0xff,0xff
146,0.709007,0xff,0xff
147,0.709008,0xff,0x0f
148,0.709009,0xff,0xff
149,0.70901,0xff,0xff
150,0.709011,0xff,0xff
151,0.709012,0xff,0x0f
