,time,MISO,MOSI
0,0.20476464,0xff,0xff
1,0.20476644,0xff,0x4d
2,0.20476824,0xff,0x00
3,0.20477004,0xff,0x00
4,0.20477184,0xff,0x00
5,0.20477364,0xff,0x00
6,0.20477544,0xff,0x0d
7,0.20477724,0xff,0xff
8,0.20477904,0x00,0xff
9,0.20478084,0x00,0xff
10,0.20478264,0xff,0xff
11,0.20478444,0xff,0xff
12,0.20478624,0xff,0xff
13,0.20478804,0xff,0xff
14,0.20478984,0xff,0xff
15,0.20479164,0xff,0xff
16,0.20479344,0xff,0xff
17,0.20479524,0xff,0xff
18,1.24478336,0xff,0xff
19,1.24478516,0xff,0x4d
20,1.24478696,0xff,0x00
21,1.24478876,0xff,0x00
22,1.24479056,0xff,0x00
23,1.24479236,0xff,0x00
24,1.24479416,0xff,0x0d
25,1.24479596,0xff,0xff
26,1.24479776,0x00,0xff
27,1.24479956,0x00,0xff
28,1.24480136,0xff,0xff
29,1.24480316,0xff,0xff
30,1.24480496,0xff,0xff
31,1.24480676,0xff,0xff
32,1.24480856,0xff,0xff
33,1.24481036,0xff,0xff
34,1.24481216,0xff,0xff
35,1.24481396,0xff,0xff
36,2.28473064,0xff,0xff
37,2.28473244,0xff,0x4d
38,2.28473424,0xff,0x00
39,2.28473604,0xff,0x00
40,2.28473784,0xff,0x00
41,2.28473964,0xff,0x00
42,2.28474144,0xff,0x0d
43,2.28474324,0xff,0xff
44,2.28474504,0x00,0xff
45,2.28474684,0x00,0xff
46,2.28474864,0xff,0xff
47,2.28475044,0xff,0xff
48,2.28475224,0xff,0xff
49,2.28475404,0xff,0xff
50,2.28475584,0xff,0xff
51,2.28475764,0xff,0xff
52,2.28475944,0xff,0xff
53,2.28476124,0xff,0xff
54,2.41545344,0xff,0xff
55,2.41545524,0xff,0x58
56,2.41545704,0xff,0x00
57,2.41545884,0xff,0x00
58,2.41546064,0xff,0x14
59,2.41546244,0xff,0xba
60,2.41546424,0xff,0x25
61,2.41546604,0xff,0xff
62,2.41546784,0x00,0xff
63,2.41546964,0xff,0xff
64,2.41547144,0xff,0xff
65,2.41547324,0xff,0xff
66,2.41547504,0xff,0xff
67,2.41547684,0xff,0xff
68,2.41547864,0xff,0xff
69,2.41548044,0xff,0xff
70,2.41548224,0xff,0xff
71,2.4155324,0xff,0xfe
72,2.41554908,0xff,0xf8
73,2.41555068,0xff,0xff
74,2.41555228,0xff,0xff
75,2.41555388,0xff,0x0f
76,2.41555548,0xff,0xff
77,2.41555708,0xff,0xff
78,2.41555868,0xff,0xff
79,2.41556028,0xff,0xff
80,2.41556188,0xff,0xff
81,2.41556348,0xff,0xff
82,2.41556508,0xff,0xff
83,2.41556668,0xff,0x0f
84,2.41556828,0xff,0xff
85,2.41556988,0xff,0xff
86,2.41557148,0xff,0xff
87,2.41557308,0xff,0x0f
88,2.41557468,0xff,0xff
89,2.41557628,0xff,0xff
90,2.41557788,0xff,0xff
91,2.41557948,0xff,0x0f
92,2.41558108,0xff,0xff
93,2.41558268,0xff,0xff
94,2.41558428,0xff,0xff
95,2.41558588,0xff,0x0f
96,2.41558748,0xff,0xff
97,2.41558908,0xff,0xff
98,2.41559068,0xff,0xff
99,2.41559228,0xff,0x0f
100,2.41559388,0xff,0xff
101,2.41559548,0xff,0xff
102,2.41559708,0xff,0xff
103,2.41559868,0xff,0x0f
104,2.41560028,0xff,0xff
105,2.41560188,0xff,0xff
106,2.41560348,0xff,0xff
107,2.41560508,0xff,0x0f
108,2.41560668,0xff,0xff
109,2.41560828,0xff,0xff
110,2.41560988,0xff,0xff
111,2.41561144,0xff,0x0f
112,2.41561308,0xff,0xff
113,2.41561468,0xff,0xff
114,2.41561628,0xff,0xff
115,2.41561788,0xff,0x0f
116,2.41561948,0xff,0xff
117,2.41562108,0xff,0xff
118,2.41562268,0xff,0xff
119,2.41562424,0xff,0x0f
120,2.41562588,0xff,0xff
121,2.41562748,0xff,0xff
122,2.41562908,0xff,0xff
123,2.41563068,0xff,0x0f
124,2.41563228,0xff,0xff
125,2.41563388,0xff,0xff
126,2.41563548,0xff,0xff
127,2.41563704,0xff,0x0f
128,2.41563868,0xff,0xff
129,2.41564024,0xff,0xff
130,2.41564188,0xff,0xff
131,2.41564348,0xff,0x0f
132,2.41564508,0xff,0xff
133,2.41564664,0xff,0xff
134,2.41564828,0xff,0xff
135,2.41564984,0xff,0x0f
136,2.41565144,0xff,0xff
137,2.41565308,0xff,0xff
138,2.41565464,0xff,0xff
139,2.41565628,0xff,0x0f
140,2.41565784,0xff,0xff
141,2.41565948,0xff,0xff
142,2.41566104,0xff,0xff
143,2.41566264,0xff,0x0f
144,2.41566424,0xff,0xff
145,2.41566584,0xff,0xff
146,2.41566744,0xff,0xff
147,2.41566904,0xff,0x0f
148,2.41567064,0xff,0x00
149,2.41567224,0xff,0x00
150,2.41567384,0xff,0x00
151,2.41567544,0xff,0x00
152,2.41567704,0xff,0xff
153,2.41567864,0xff,0xff
154,2.41568024,0xff,0xff
155,2.41568184,0xff,0x0f
156,2.41568344,0xff,0x00
157,2.41568504,0xff,0x00
158,2.41568664,0xff,0x00
159,2.41568824,0xff,0x00
160,2.41568984,0xff,0xff
161,2.41569144,0xff,0xff
162,2.41569304,0xff,0xff
163,2.41569464,0xff,0x0f
164,2.41569624,0xff,0x00
165,2.41569784,0xff,0x00
166,2.41569944,0xff,0x00
167,2.41570104,0xff,0x00
168,2.41570264,0xff,0xff
169,2.41570424,0xff,0xff
170,2.41570584,0xff,0xff
171,2.41570744,0xff,0x0f
172,2.41570904,0xff,0xff
173,2.41571064,0xff,0xff
174,2.41571224,0xff,0xff
175,2.41571384,0xff,0x0f
176,2.41571544,0xff,0xff
177,2.41571704,0xff,0xff
178,2.41571864,0xff,0xff
179,2.41572024,0xff,0x0f
180,2.41572184,0xff,0xff
181,2.41572344,0xff,0xff
182,2.41572504,0xff,0xff
183,2.41572664,0xff,0x0f
184,2.41572824,0xff,0xff
185,2.41572984,0xff,0xff
186,2.41573144,0xff,0xff
187,2.41573304,0xff,0x0f
188,2.41573464,0xff,0xff
189,2.41573624,0xff,0xff
190,2.41573784,0xff,0xff
191,2.41573944,0xff,0x0f
192,2.41574104,0xff,0x00
193,2.41574264,0xff,0x00
194,2.41574424,0xff,0x00
195,2.41574584,0xff,0x00
196,2.41574744,0xff,0xff
197,2.41574904,0xff,0xff
198,2.41575064,0xff,0xff
199,2.41575224,0xff,0x0f
200,2.41575384,0xff,0xff
201,2.41575544,0xff,0xff
202,2.41575704,0xff,0xff
203,2.41575864,0xff,0x0f
204,2.41576024,0xff,0x00
205,2.41576184,0xff,0x00
206,2.41576344,0xff,0x00
207,2.41576504,0xff,0x00
208,2.41576664,0xff,0x00
209,2.41576824,0xff,0x00
210,2.41576984,0xff,0x00
211,2.41577144,0xff,0x00
212,2.41577304,0xff,0x00
213,2.41577464,0xff,0x00
214,2.41577624,0xff,0x00
215,2.41577784,0xff,0x00
216,2.41577944,0xff,0x00
217,2.41578104,0xff,0x00
218,2.41578264,0xff,0x00
219,2.41578424,0xff,0x00
220,2.41578584,0xff,0x00
221,2.41578744,0xff,0x00
222,2.41578904,0xff,0x00
223,2.41579064,0xff,0x00
224,2.41579224,0xff,0x00
225,2.41579384,0xff,0x00
226,2.41579544,0xff,0x00
227,2.41579704,0xff,0x00
228,2.41579864,0xff,0x00
229,2.41580024,0xff,0x00
230,2.41580184,0xff,0x00
231,2.41580344,0xff,0x00
232,2.41580504,0xff,0x29
233,2.41580664,0xff,0x00
234,2.41580824,0xff,0x00
235,2.41580984,0xff,0x00
236,2.41581144,0xff,0x2a
237,2.41581304,0xff,0x00
238,2.41581464,0xff,0x00
239,2.41581624,0xff,0x00
240,2.41581784,0xff,0x2b
241,2.41581944,0xff,0x00
242,2.41582104,0xff,0x00
243,2.41582264,0xff,0x00
244,2.41582424,0xff,0x2c
245,2.41582584,0xff,0x00
246,2.41582744,0xff,0x00
247,2.41582904,0xff,0x00
248,2.41583064,0xff,0x2d
249,2.41583224,0xff,0x00
250,2.41583384,0xff,0x00
251,2.41583544,0xff,0x00
252,2.41583704,0xff,0x2e
253,2.41583864,0xff,0x00
254,2.41584024,0xff,0x00
255,2.41584184,0xff,0x00
256,2.41584344,0xff,0x2f
257,2.41584504,0xff,0x00
258,2.41584664,0xff,0x00
259,2.41584824,0xff,0x00
260,2.41584984,0xff,0xff
261,2.41585144,0xff,0xff
262,2.41585304,0xff,0xff
263,2.41585464,0xff,0x0f
264,2.41585624,0xff,0x31
265,2.41585784,0xff,0x00
266,2.41585944,0xff,0x00
267,2.41586104,0xff,0x00
268,2.41586264,0xff,0x32
269,2.41586424,0xff,0x00
270,2.41586584,0xff,0x00
271,2.41586744,0xff,0x00
272,2.41586904,0xff,0x33
273,2.41587064,0xff,0x00
274,2.41587224,0xff,0x00
275,2.41587384,0xff,0x00
276,2.41587544,0xff,0xff
277,2.41587704,0xff,0xff
278,2.41587864,0xff,0xff
279,2.41588024,0xff,0x0f
280,2.41588184,0xff,0x35
281,2.41588344,0xff,0x00
282,2.41588504,0xff,0x00
283,2.41588664,0xff,0x00
284,2.41588824,0xff,0xff
285,2.41588984,0xff,0xff
286,2.41589144,0xff,0xff
287,2.41589304,0xff,0x0f
288,2.41589464,0xff,0xff
289,2.41589624,0xff,0xff
290,2.41589784,0xff,0xff
291,2.41589944,0xff,0x0f
292,2.41590104,0xff,0xff
293,2.41590264,0xff,0xff
294,2.41590424,0xff,0xff
295,2.41590584,0xff,0x0f
296,2.41590744,0xff,0xff
297,2.41590904,0xff,0xff
298,2.41591064,0xff,0xff
299,2.41591224,0xff,0x0f
300,2.41591384,0xff,0xff
301,2.41591544,0xff,0xff
302,2.41591704,0xff,0xff
303,2.41591864,0xff,0x0f
304,2.41592024,0xff,0xff
305,2.41592184,0xff,0xff
306,2.41592344,0xff,0xff
307,2.41592504,0xff,0x0f
308,2.41592664,0xff,0x3c
309,2.41592824,0xff,0x00
310,2.41592984,0xff,0x00
311,2.41593144,0xff,0x00
312,2.41593304,0xff,0xff
313,2.41593464,0xff,0xff
314,2.41593624,0xff,0xff
315,2.41593784,0xff,0x0f
316,2.41593944,0xff,0xff
317,2.41594104,0xff,0xff
318,2.41594264,0xff,0xff
319,2.41594424,0xff,0x0f
320,2.41594584,0xff,0x3f
321,2.41594744,0xff,0x00
322,2.41594904,0xff,0x00
323,2.41595064,0xff,0x00
324,2.41595224,0xff,0x40
325,2.41595384,0xff,0x00
326,2.41595544,0xff,0x00
327,2.41595704,0xff,0x00
328,2.41595864,0xff,0x41
329,2.41596024,0xff,0x00
330,2.41596184,0xff,0x00
331,2.41596344,0xff,0x00
