,time,MISO,MOSI
0,0.10860132,0xff,0xff
1,0.10860312,0xff,0x4d
2,0.10860492,0xff,0x00
3,0.10860672,0xff,0x00
4,0.10860852,0xff,0x00
5,0.10861032,0xff,0x00
6,0.10861212,0xff,0x0d
7,0.10861392,0xff,0xff
8,0.10861572,0x00,0xff
9,0.10861752,0x00,0xff
10,0.10861932,0xff,0xff
11,0.10862112,0xff,0xff
12,0.10862292,0xff,0xff
13,0.10862472,0xff,0xff
14,0.10862652,0xff,0xff
15,0.10862832,0xff,0xff
16,0.10863012,0xff,0xff
17,0.10863192,0xff,0xff
18,1.14857348,0xff,0xff
19,1.14857528,0xff,0x4d
20,1.14857708,0xff,0x00
21,1.14857888,0xff,0x00
22,1.14858068,0xff,0x00
23,1.14858248,0xff,0x00
24,1.14858428,0xff,0x0d
25,1.14858608,0xff,0xff
26,1.14858788,0x00,0xff
27,1.14858968,0x00,0xff
28,1.14859148,0xff,0xff
29,1.14859328,0xff,0xff
30,1.14859508,0xff,0xff
31,1.14859688,0xff,0xff
32,1.14859868,0xff,0xff
33,1.14860048,0xff,0xff
34,1.14860228,0xff,0xff
35,1.14860408,0xff,0xff
36,1.61164988,0xff,0xff
37,1.61165168,0xff,0x59
38,1.61165348,0xff,0x00
39,1.61165528,0xff,0x00
40,1.61165708,0xff,0x14
41,1.61165888,0xff,0xba
42,1.61166068,0xff,0x49
43,1.61166248,0xff,0xff
44,1.61166428,0x00,0xff
45,1.61166608,0xff,0xff
46,1.61166788,0xff,0xff
47,1.61166968,0xff,0xff
48,1.61167148,0xff,0xff
49,1.61167328,0xff,0xff
50,1.61167508,0xff,0xff
51,1.61167688,0xff,0xff
52,1.61167868,0xff,0xff
53,1.6117698,0xff,0xfc
54,1.61178684,0xff,0xf8
55,1.61178844,0xff,0xff
56,1.61179004,0xff,0xff
57,1.61179164,0xff,0x0f
58,1.61179324,0xff,0xff
59,1.61179484,0xff,0xff
60,1.61179644,0xff,0xff
61,1.61179804,0xff,0xff
62,1.61179964,0xff,0xff
63,1.61180124,0xff,0xff
64,1.61180284,0xff,0xff
65,1.61180444,0xff,0x0f
66,1.61180604,0xff,0xff
67,1.61180764,0xff,0xff
68,1.61180924,0xff,0xff
69,1.61181084,0xff,0x0f
70,1.61181244,0xff,0xff
71,1.61181404,0xff,0xff
72,1.61181564,0xff,0xff
73,1.61181724,0xff,0x0f
74,1.61181884,0xff,0xff
75,1.61182044,0xff,0xff
76,1.61182204,0xff,0xff
77,1.61182364,0xff,0x0f
78,1.61182524,0xff,0xff
79,1.61182684,0xff,0xff
80,1.61182844,0xff,0xff
81,1.61183004,0xff,0x0f
82,1.61183164,0xff,0xff
83,1.61183324,0xff,0xff
84,1.61183484,0xff,0xff
85,1.61183644,0xff,0x0f
86,1.61183804,0xff,0xff
87,1.61183964,0xff,0xff
88,1.61184124,0xff,0xff
89,1.61184284,0xff,0x0f
90,1.61184444,0xff,0xff
91,1.61184604,0xff,0xff
92,1.61184764,0xff,0xff
93,1.61184924,0xff,0x0f
94,1.61185084,0xff,0xff
95,1.61185244,0xff,0xff
96,1.61185404,0xff,0xff
97,1.61185564,0xff,0x0f
98,1.61185724,0xff,0xff
99,1.61185884,0xff,0xff
100,1.61186044,0xff,0xff
101,1.61186204,0xff,0x0f
102,1.61186364,0xff,0xff
103,1.61186524,0xff,0xff
104,1.61186684,0xff,0xff
105,1.61186844,0xff,0x0f
106,1.61187004,0xff,0xff
107,1.61187164,0xff,0xff
108,1.61187324,0xff,0xff
109,1.61187484,0xff,0x0f
110,1.61187644,0xff,0xff
111,1.61187804,0xff,0xff
112,1.61187964,0xff,0xff
113,1.61188124,0xff,0x0f
114,1.61188284,0xff,0xff
115,1.61188444,0xff,0xff
116,1.61188604,0xff,0xff
117,1.61188764,0xff,0x0f
118,1.61188924,0xff,0xff
119,1.61189084,0xff,0xff
120,1.61189244,0xff,0xff
121,1.61189404,0xff,0x0f
122,1.61189564,0xff,0xff
123,1.61189724,0xff,0xff
124,1.61189884,0xff,0xff
125,1.61190044,0xff,0x0f
