time;opcode;param;payload
0.85028208;0x58;000014ba;0xf8ffff0fffffffffffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f00000000ffffff0f00000000ffffff0f00000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f00000000ffffff0fffffff0f00000000000000000000000000000000000000000000000000000000290000002a0000002b0000002c0000002d0000002e0000002f000000ffffff0f310000003200000033000000ffffff0f35000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f3c000000ffffff0fffffff0f3f000000400000004100000042000000430000004400000045000000ffffff0f4700000048000000490000004a0000004b0000004c0000004d000000ffffff0f5c000000500000005100000052000000530000005400000055000000560000005700000058000000590000005a0000005b000000700000005d0000005e0000005f000000600000006100000062000000630000006400000065000000660000006700000071000000690000006a0000006b0000006c0000006d0000006e0000006f000000ffffff0f7300000076000000ffffff0fffffff0fffffff0f00000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f7f00000080000000
0.8684212;0x58;00004e5d;0xf8ffff0fffffffffffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f00000000ffffff0f00000000ffffff0f00000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f00000000ffffff0fffffff0f0000000000000000ffffff0f00000000000000000000000000000000290000002a0000002b0000002c0000002d0000002e0000002f000000ffffff0f310000003200000033000000ffffff0f35000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f3c000000ffffff0fffffff0f3f000000400000004100000042000000430000004400000045000000ffffff0f4700000048000000490000004a0000004b0000004c0000004d000000ffffff0f5c000000500000005100000052000000530000005400000055000000560000005700000058000000590000005a0000005b000000700000005d0000005e0000005f000000600000006100000062000000630000006400000065000000660000006700000071000000690000006a0000006b0000006c0000006d0000006e0000006f000000ffffff0f7300000076000000ffffff0fffffff0fffffff0f00000000ffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0fffffff0f7f00000080000000
0.88548156;0x58;00008800;0x424f4f544653202020202008000000000000000000004080b85600000000000042300030000000ffffffff0f0021ffffffffffffffffffffffff0000ffffffff012e00530070006f0074000f00216c0069006700680074002d0000005600310053504f544c497e312020201000004080b856b85600004080b8560d0000000000412e0054007200610073000f00e468002d00310030003000300000000000ffff54524153482d7e31202020100030525eac56ac560000525eac5607000000000042200049006e0066006f000f007272006d006100740069006f0000006e00000001530079007300740065000f00726d00200056006f006c00750000006d00650053595354454d7e312020201600aed47cac56ac560000d57cac560600000000004274000000ffffffffffff0f001bffffffffffffffffffffffff0000ffffffff01480065006c006c006f000f001b57006f0072006c0064002e0000007400780048454c4c4f577e315458542000000d86cc56cc560000ef85cc5614000b000000416500780061006d0070000f005a6c0065002e0074007800740000000000ffff4558414d504c4520545854200000738ecc56cc560000738ecc5623000a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.90306264;0x58;00008a10;0x4141414141414141414100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
