,time,MISO,MOSI
255,0,0xff,0x0a
256,0,0xff,0xf9
257,0,0xff,0x4d
258,0,0xff,0x12
259,0,0xff,0xf4
260,0,0xff,0x31
261,0,0xff,0xb3
262,0,0xff,0xc9
263,0,0xff,0x3a
264,0,0xff,0x59
265,0,0xff,0x6f
266,0,0xff,0xea
267,0,0xff,0x1c
268,0,0xff,0x43
269,0,0xff,0x14
270,0,0xff,0x77
271,0,0xff,0xda
272,0,0xff,0xd1
273,0,0xff,0xa4
274,0,0xff,0x67
275,0,0xff,0x2a
276,0,0xff,0x60
277,0,0xff,0x04
278,0,0xff,0xda
279,0,0xff,0x32
280,0,0xff,0x70
281,0,0xff,0x76
282,0,0xff,0x83
283,0,0xff,0x0c
284,0,0xff,0x5a
285,0,0xff,0x05
286,0,0xff,0x44
287,0,0xff,0x65
288,0,0xff,0xf1
289,0,0xff,0x7e
290,0,0xff,0x09
291,0,0xff,0x09
292,0,0xff,0xd3
293,0,0xff,0x0f
294,0,0xff,0x7a
295,0,0xff,0xc2
296,0,0xff,0x0b
297,0,0xff,0x4b
298,0,0xff,0xed
299,0,0xff,0x0e
300,0,0xff,0xc6
301,0,0xff,0xb0
302,0,0xff,0xc9
303,0,0xff,0x11
304,0,0xff,0x86
305,0,0xff,0xff
306,0,0xff,0x3d
307,0,0xff,0x3e
308,0,0xff,0x62
309,0,0xff,0x55
310,0,0xff,0x7a
311,0,0xff,0xfc
312,0,0xff,0x2e
313,0,0xff,0x2a
314,0,0xff,0xbb
315,0,0xff,0xe6
316,0,0xff,0x0a
317,0,0xff,0xac
318,0,0xff,0xec
319,0,0xff,0x92
320,0,0xff,0x6a
321,0,0xff,0x12
322,0,0xff,0xf1
323,0,0xff,0x61
324,0,0xff,0x1a
325,0,0xff,0x1e
326,0,0xff,0x6f
327,0,0xff,0x84
328,0,0xff,0x3d
329,0,0xff,0xc3
330,0,0xff,0xa4
331,0,0xff,0xf8
332,0,0xff,0xbb
333,0,0xff,0x9d
334,0,0xff,0x8d
335,0,0xff,0x65
336,0,0xff,0xbd
337,0,0xff,0xfd
338,0,0xff,0xfa
339,0,0xff,0xf9
340,0,0xff,0xd3
341,0,0xff,0x42
342,0,0xff,0x10
343,0,0xff,0xa9
344,0,0xff,0x96
345,0,0xff,0xe0
346,0,0xff,0x44
347,0,0xff,0x1d
348,0,0xff,0xb3
349,0,0xff,0xab
350,0,0xff,0x1e
351,0,0xff,0x88
352,0,0xff,0x23
353,0,0xff,0xc8
354,0,0xff,0x82
355,0,0xff,0x17
356,0,0xff,0xe8
357,0,0xff,0x3e
358,0,0xff,0xeb
359,0,0xff,0xfa
360,0,0xff,0x66
361,0,0xff,0x78
362,0,0xff,0x89
363,0,0xff,0xb9
364,0,0xff,0x1f
365,0,0xff,0x39
366,0,0xff,0xd4
367,0,0xff,0xa6
368,0,0xff,0x3c
369,0,0xff,0x37
370,0,0xff,0x4e
371,0,0xff,0x9b
372,0,0xff,0x74
373,0,0xff,0xe4
374,0,0xff,0xbd
375,0,0xff,0x68
376,0,0xff,0x68
377,0,0xff,0xa6
378,0,0xff,0xcc
379,0,0xff,0xf5
380,0,0xff,0x32
381,0,0xff,0x24
382,0,0xff,0x3b
383,0,0xff,0x69
384,0,0xff,0x56
385,0,0xff,0x9c
386,0,0xff,0x10
387,0,0xff,0x10
388,0,0xff,0x62
389,0,0xff,0x44
390,0,0xff,0x4e
391,0,0xff,0x71
392,0,0xff,0xba
393,0,0xff,0x66
394,0,0xff,0x18
395,0,0xff,0xbb
396,0,0xff,0xd0
397,0,0xff,0x45
398,0,0xff,0x2d
399,0,0xff,0x87
400,0,0xff,0xc6
401,0,0xff,0xd8
402,0,0xff,0xbc
403,0,0xff,0x8f
404,0,0xff,0x91
405,0,0xff,0x97
406,0,0xff,0x9e
407,0,0xff,0xdf
408,0,0xff,0x72
409,0,0xff,0x06
410,0,0xff,0xe2
411,0,0xff,0x33
412,0,0xff,0xf4
413,0,0xff,0x3d
414,0,0xff,0x14
415,0,0xff,0xf9
416,0,0xff,0x11
417,0,0xff,0xc3
418,0,0xff,0xc9
419,0,0xff,0x66
420,0,0xff,0x27
421,0,0xff,0xe9
422,0,0xff,0x50
423,0,0xff,0x12
424,0,0xff,0x2e
425,0,0xff,0xfb
426,0,0xff,0x78
427,0,0xff,0x01
428,0,0xff,0x6e
429,0,0xff,0xde
430,0,0xff,0xba
431,0,0xff,0x61
432,0,0xff,0x1f
433,0,0xff,0xff
434,0,0xff,0x45
435,0,0xff,0xbd
436,0,0xff,0x5f
437,0,0xff,0xe7
438,0,0xff,0x90
439,0,0xff,0x47
440,0,0xff,0xa8
441,0,0xff,0xfa
442,0,0xff,0x85
443,0,0xff,0x96
444,0,0xff,0x46
445,0,0xff,0xcd
446,0,0xff,0x4d
447,0,0xff,0xa6
448,0,0xff,0xbc
449,0,0xff,0xa0
450,0,0xff,0xfe
451,0,0xff,0xbc
452,0,0xff,0x32
453,0,0xff,0x83
454,0,0xff,0x08
455,0,0xff,0x14
456,0,0xff,0xdb
457,0,0xff,0xba
458,0,0xff,0x50
459,0,0xff,0x6d
460,0,0xff,0xb2
461,0,0xff,0x85
462,0,0xff,0x47
